,count,unique,top,freq,mean,min,25%,50%,75%,max,std
store,421570.0,,,,22.200545579619043,1.0,11.0,22.0,33.0,45.0,12.78529738990299
dept,421570.0,,,,44.26031738501317,1.0,18.0,37.0,74.0,99.0,30.492054015785836
date,421570,,,,2011-06-18 08:30:31.963375104,2010-02-05 00:00:00,2010-10-08 00:00:00,2011-06-17 00:00:00,2012-02-24 00:00:00,2012-10-26 00:00:00,
weekly_sales,421570.0,,,,15981.25812346704,-4988.94,2079.6499999999996,7612.03,20205.8525,693099.36,22711.183519163224
isholiday_x,421570,2,False,391909,,,,,,,
temperature,421570.0,,,,60.09005873283201,-2.06,46.68,62.09,74.28,100.14,18.447931147615932
fuel_price,421570.0,,,,3.361026527029912,2.472,2.933,3.452,3.738,4.468,0.45851453712775075
cpi,421570.0,,,,171.20194682296346,126.064,132.0226667,182.3187801,212.4169928,227.2328068,39.1592756230124
unemployment,421570.0,,,,7.960288694641462,3.879,6.891,7.866,8.572,14.313,1.8632960384301733
isholiday_y,421570,2,False,391909,,,,,,,
type,421570,3,A,215478,,,,,,,
size,421570.0,,,,136727.91573878596,34875.0,93638.0,140167.0,202505.0,219622.0,60980.583328101486
sales_amount,421570.0,,,,15981.25812346704,-4988.94,2079.6499999999996,7612.03,20205.8525,693099.36,22711.183519163224
year,421570.0,,,,2010.9685912185403,2010.0,2010.0,2011.0,2012.0,2012.0,0.7968760186997331
month,421570.0,,,,6.4495101643855115,1.0,4.0,6.0,9.0,12.0,3.24321723103804
dayofweek,421570.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,0.0
is_weekend,421570.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
